valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.94,2006,0.33,['Los Horóscopos De Durango'],0.687,204587,0.7240000000000001,0,2KIUMqD9ZkcxhgSVyIDP4t,0.000273,4,0.248,-2.478,0,Mi Amor Por Ti,48,2006-01-01,0.0301,141.507
0.165,2002,0.109,['Good Charlotte'],0.515,242933,0.5660000000000001,0,0eYcZLnlLKaItC1WC4B1pc,0.0,6,0.16,-6.176,1,Emotionless,42,2002-10-04,0.0303,154.32
0.551,1987,0.795,['Raphael'],0.402,159560,0.4270000000000001,0,6b3ub116kE1T15h1yzaiTy,0.0,2,0.222,-11.328,0,Yo soy aquél,38,1987-08-25,0.0359,111.065
0.557,1998,0.79,"['Joan Sebastian', 'Pepe Aguilar']",0.392,180976,0.426,0,2bWImXJQNVfgrROo4Xj630,4.48e-06,9,0.208,-7.087999999999999,1,Estás Fallando,48,1998-09-10,0.0404,183.039
0.48,1965,0.988,['Vince Guaraldi Trio'],0.339,149227,0.243,0,5dwY5r2PfjMteikJViyNIT,0.893,0,0.113,-16.851,0,Great Pumpkin Waltz,55,1965,0.0382,151.481
0.347,1958,0.972,['Sarah Vaughan'],0.614,156653,0.156,0,1opNhHzl7YYxo1szmZOLAA,0.0,10,0.0925,-13.0,0,Whatever Lola Wants (Lola Gets),39,1958-07-07,0.0657,119.14
0.966,1957,0.731,['Lefty Frizzell'],0.6459999999999999,150507,0.451,0,4cytp0rRbxCUGtdLjdTlfw,0.00126,8,0.468,-12.783,1,You're Humbuggin' Me,11,1957,0.0389,145.316
0.285,1988,0.703,['Keith Whitley'],0.605,252627,0.228,0,7J9ARWRkMtXMYeF8RxJEjn,0.00198,7,0.0936,-16.116,1,Don't Close Your Eyes,58,1988-05-30,0.0267,78.31
0.964,1931,0.971,"['Francisco Canaro', 'Charlo']",0.8759999999999999,180493,0.297,0,1ztPRRfuLE5oXT70O2T2aj,0.182,2,0.0819,-12.942,1,Amores de Granada - Remasterizado,0,1931-12-14,0.109,124.392
0.539,1988,0.732,"['Paul Jackson, Jr.']",0.613,317800,0.435,0,0CDdIP9vgk3iSDH0bPGww5,0.376,1,0.0403,-13.892,1,Let's Wait Awhile,36,1988,0.0268,88.27
0.741,1949,0.99,"['Bhanumathi Ramakrishna', 'Ghantasala']",0.448,187147,0.216,0,3XoQ4j4IbJkGSYlPkwYhFb,0.7959999999999999,10,0.098,-18.122,1,Jeevanadoli,0,1949-12-01,0.0585,167.357
0.977,1973,0.599,['Billy Joe Shaver'],0.7340000000000001,164933,0.358,0,1H9LQWU4yHZ5r9j1VowlQ3,0.272,9,0.0971,-16.500999999999998,1,Black Rose,44,1973-04-27,0.0353,132.224
0.243,2014,0.258,['The Black Keys'],0.647,222960,0.465,0,1pwWrPxonLIE12WWu9NzgU,0.149,6,0.111,-10.272,0,Turn Blue,54,2014-05-09,0.0245,94.035
0.463,1931,0.856,['Эрих Мария Ремарк'],0.725,163300,0.184,1,2U3oMl0uPWyqJjCGK3Pu7M,0.0,0,0.176,-15.06,1,Часть 22.8 - Обратный путь,0,1931,0.947,115.756
0.343,1983,0.00186,['Jonzun Crew'],0.8240000000000001,317707,0.956,0,5yXdLXpSiyhWT3Z0aSppkW,0.684,7,0.0961,-7.207000000000002,1,Pack Jam,33,1983-01-04,0.0709,118.908
0.525,2008,0.000209,['Disturbed'],0.429,278027,0.966,0,42ZVk59gT4tMlrZmd8Ijxf,0.124,8,0.371,-4.605,1,Indestructible,71,2008-04-29,0.0733,179.956
0.88,1985,0.0872,['The Forester Sisters'],0.5920000000000001,170147,0.469,0,2CpnNgpSYSjwkyXAJqHSnP,0.0,8,0.0605,-12.276,1,Mama's Never Seen Those Eyes,40,1985,0.0268,144.15200000000004
0.802,2011,0.105,"['Tedashii', 'Lecrae']",0.757,205093,0.895,0,0bGEPgjEggSg0Vhx0YEDhA,0.0,1,0.142,-4.783,1,Dum Dum,48,2011-05-31,0.107,94.065
0.379,1951,0.987,['Les Paul'],0.65,179427,0.135,0,7EtUf2met6TicUh3rD53lx,0.909,0,0.111,-15.744000000000002,1,Dream Dust,5,1951-01-01,0.0468,93.47
0.0454,2004,0.961,['Ludovico Einaudi'],0.191,357707,0.0582,0,3weNRklVDqb4Rr5MhKBR3D,0.89,8,0.0941,-25.398000000000003,1,Nuvole Bianche,72,2004-01-01,0.0578,132.614
0.0839,2001,0.00179,['Slayer'],0.238,215693,0.994,1,0esBc6VgM4lFk3SOlL3Ys4,0.00944,8,0.202,-3.5780000000000003,1,Disciple,49,2001-01-01,0.25,95.569
0.898,1999,0.00522,['The Chicks'],0.598,217693,0.936,0,5aUoUiLkJ0aUhNZtF2RdQK,0.0178,10,0.219,-6.313,1,Sin Wagon,47,1999-08-27,0.0354,144.059
0.0447,1945,0.901,['Anca Elena'],0.573,214571,0.00574,0,4SriIcIMNhfwyA8oMH79KP,0.317,9,0.166,-27.288,1,Regard du temps,0,1945,0.0678,131.582
0.441,1967,0.737,['Arlo Guthrie'],0.245,184960,0.327,0,29JrIpE3OaE9YKwmXT7bFL,0.0,11,0.13,-13.74,1,Chilling of the Evening,24,1967-08-28,0.0341,205.187
0.7929999999999999,2016,0.249,['Toddler Tunes'],0.867,83291,0.7290000000000001,0,4izXmYE9U6clkv5uAyVEN7,0.0,1,0.0802,-6.6160000000000005,1,"Head, Shoulders, Knees and Toes",57,2016-03-01,0.0373,120.129
0.61,1985,0.716,['Simply Red'],0.703,340267,0.45,0,0S9ldLnfkEenj9oSzrfepT,0.00221,9,0.232,-11.634,0,Holding Back the Years - Extended Single Mix; 2008 Remaster,41,1985,0.0266,86.214
0.725,1948,0.993,"['Lata Mangeshkar', 'Geeta Dutt', 'Chitalkar']",0.6779999999999999,201117,0.21,0,2fMwmKXfUMCc9X0X2FgMeH,0.00195,0,0.282,-10.047,1,Tere Bina Soona Soona,0,1948-12-31,0.401,130.162
0.599,1936,0.357,"['Dale Carnegie', 'Till Hagen', 'Stefan Kaminski']",0.621,720920,0.3670000000000001,0,32tsFfwTYAqcfUccKNivJ3,0.0,10,0.126,-13.693,0,"Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 51",16,1936,0.957,77.95
0.941,1996,0.242,['Grupo Exterminador'],0.7859999999999999,195467,0.5539999999999999,0,5gaFl5fU3feBrLPNl5rswk,0.0,2,0.21,-10.168,1,Las Panteras,36,1996-01-01,0.0499,107.527
0.799,1968,0.076,['Quicksilver Messenger Service'],0.6990000000000001,188493,0.665,0,0Z1gFxgGNXrikEBAUXxx7J,0.000206,9,0.066,-11.235,1,Dino's Song,28,1968,0.0397,124.908
0.401,1984,0.225,['Joan Jett & The Blackhearts'],0.5329999999999999,155747,0.926,0,5Eald1GAoLr6NNtOkgOaMO,4.8e-05,11,0.0572,-6.138999999999999,1,Cherry Bomb,40,1984-10-01,0.0525,128.51
0.473,1928,0.5720000000000001,['H.P. Lovecraft'],0.708,149900,0.215,0,08i6R3zRuUMSiH0XgrcJYt,0.0,0,0.135,-12.996,1,Capítulo 1.1 - la Casa Maldita,0,1928,0.927,133.564
0.898,1972,0.259,['Roberto Carlos'],0.613,208867,0.489,0,4CKIoO64EM5M37TkshbaQE,0.0,11,0.0696,-13.509,0,Amigo,46,1972,0.0503,145.278
0.938,2007,0.00117,['Linkin Park'],0.655,189293,0.885,1,1fLlRApgzxWweF1JTf8yM5,0.000473,7,0.0448,-4.1160000000000005,1,Given Up,68,2007-05-14,0.0438,100.088
0.5710000000000001,1977,0.25,['Iggy Pop'],0.517,146599,0.929,0,70ZlAJGfC4DesFw4oQ7YZM,0.484,4,0.767,-5.9460000000000015,1,Sixteen,37,1977-08-29,0.0673,124.856
0.383,1954,0.965,"['Odetta', 'Larry']",0.388,180906,0.7040000000000001,0,0E8IfpO6fphcYyFPZdDC05,0.000719,9,0.197,-4.9510000000000005,1,Payday at Coal Creek,1,1954-04-07,0.0339,164.855
0.0816,1948,0.961,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet']",0.174,429227,0.092,0,3bsLJqeT47FyKCm917sP9x,0.8009999999999999,5,0.134,-20.07,1,"Quartet No. 19 in C Major for Strings, K. 465 (""Dissonant""): II. Andante cantabile",0,1948,0.0436,93.386
0.0298,1980,0.8029999999999999,['John Carpenter'],0.36,656573,0.0345,0,1Y61rEEjZfAoM19LA2UTkQ,0.894,9,0.162,-20.822,1,Reel 9,24,1980,0.0472,109.153
0.5720000000000001,1956,0.6779999999999999,['Duke Ellington'],0.406,312293,0.626,0,4Hk2LN7F0vyoyUa8tBzivB,0.0187,1,0.627,-12.001,1,Pt. III-Newport Up,12,1956,0.0627,76.816
0.858,1950,0.726,['La Sonora Santanera'],0.721,159733,0.278,0,7gpX2K0IK4NR2sQiQqSURL,2e-05,9,0.073,-12.576,1,De Qué Manera Te Olvido,5,1950,0.0364,106.95
0.731,1991,0.00616,['Warren Zevon'],0.599,172693,0.56,0,61LD6AsNwjp5KtgeunWRVp,2.13e-06,9,0.091,-9.145,1,Things to Do in Denver When You're Dead - 2008 Remaster,29,1991-10-15,0.0245,87.69
0.825,1976,0.00708,['England Dan & John Ford Coley'],0.564,203640,0.523,0,07vjgCVvOLSPcgGVNmBnru,2.26e-06,0,0.328,-12.404000000000002,1,Westward Wind,28,1976,0.0272,134.596
0.508,1960,0.725,['Wayne Shorter'],0.448,204040,0.5870000000000001,0,1WH5S763r526clejLSM6AA,0.189,8,0.152,-13.363,1,Tenderfoot,10,1960-01-01,0.0449,136.159
0.361,2015,0.0928,['One Direction'],0.546,196933,0.657,0,1ZWLWVqeEMWMKTlteS0yLH,0.0,1,0.119,-4.787,1,Love You Goodbye,70,2015-11-13,0.0332,133.188
0.409,2008,0.226,['Mayday'],0.462,265867,0.465,0,0IAgufC1FlOg1nZMmRZxRr,7.699999999999999e-06,2,0.196,-6.485,1,突然好想你,60,2008-10-23,0.0262,140.112
0.339,2018,0.059,['LANY'],0.6970000000000001,212002,0.551,0,3D110t9ctcoOoylXsc3iR8,0.0,5,0.0762,-6.178999999999999,0,Thick And Thin,66,2018-10-05,0.0282,99.996
0.723,1969,0.01,['Frank Zappa'],0.345,774187,0.845,0,234lDqfTfxGXQkwwcFVtWh,0.5329999999999999,7,0.65,-10.265999999999998,0,The Gumbo Variations,29,1969-10-10,0.0662,112.42
0.95,1953,0.958,['Unspecified'],0.6,211747,0.322,0,1PrORLxIwjycinzEBlBg3L,0.0828,7,0.178,-13.711,0,Ela Demetroula (Como Demetroula): Love Song,0,1953-01-01,0.0407,76.752
0.293,2009,0.5539999999999999,['Three Days Grace'],0.465,207467,0.456,0,1o4Pf2GIMDCD7ifIM2yI77,0.0,4,0.111,-6.603,0,Last to Know,57,2009-09-22,0.0282,138.78
0.4970000000000001,1969,0.8240000000000001,['Townes Van Zandt'],0.624,174147,0.134,0,2OYrhel5MHLGeTvXU9txqA,1.89e-06,0,0.13,-18.026,1,Don't Take It Too Bad,36,1969-09,0.0352,112.615
0.123,2018,0.0593,['Lil Mosey'],0.75,174316,0.476,1,0xNDvMqlGkOLEH66Z45FCL,0.0,7,0.199,-7.864,0,Greet Her,65,2018-10-19,0.0412,94.995
0.5710000000000001,1958,0.813,['Vicente Fernández'],0.463,189867,0.351,0,3yniY9HXvjpXarTBQSMuwN,6.03e-06,0,0.273,-9.554,1,Hoy He Visto Pasar A Maria,21,1958,0.0303,101.097
0.287,2015,0.155,['Lil Uzi Vert'],0.485,235989,0.662,1,6EFryfyWOobzFCBDB9qbrz,0.0,9,0.119,-5.1720000000000015,1,Safe House,51,2015-12-18,0.243,104.717
0.769,1981,0.0599,['Black Uhuru'],0.835,331973,0.256,0,7jLJw9MvyZyCZpQYXeUWN3,0.000315,6,0.0992,-18.357,0,Leaving To Zion,29,1981-01-01,0.0619,127.831
0.8190000000000001,1955,0.92,['Hampton Hawes Trio'],0.491,144667,0.315,0,5KTGOxbL6BYlQ7uSlp3VwM,0.878,0,0.0911,-18.576,1,Carioca,19,1955-06-28,0.0383,136.483
0.523,1989,0.593,['Babyface'],0.745,331200,0.453,0,3KwBXx4v79jKrITc0WBw6H,0.0,9,0.173,-9.694,1,Whip Appeal,40,1989-07-07,0.0288,109.616
0.602,2014,0.0147,['Die Antwoord'],0.8220000000000001,213607,0.669,1,0zSGK8ZpVuo0XdIY21Vyrh,0.0,10,0.188,-5.358,0,Ugly Boy,60,2014-06-03,0.182,102.035
0.529,1957,0.805,"['Johann Sebastian Bach', 'Jascha Heifetz', 'Erick Friedman', 'Thornton Lofthouse', 'The New Symphony Orchestra Of London', 'Sir Malcolm Sargent']",0.439,287600,0.248,0,20dWtXJnci0gCneGsJHpns,0.343,2,0.085,-19.052,0,"Concerto in D Minor for Two Violins, BWV 1043: Allegro",17,1957,0.044,99.881
0.8140000000000001,1980,0.119,['Les Ya Toupas Du Zaire'],0.586,536587,0.795,0,2XyPWUjkFyPcU2ejiCRcTW,0.126,1,0.312,-7.997000000000001,0,Je Ne Bois Pas Beaucoup,36,1980,0.0547,123.498
0.385,1989,0.901,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']",0.464,173507,0.272,0,1Zfs685ci0kxKAym9WMuxi,1.35e-05,7,0.153,-12.569,1,Vivo Sonhando,50,1989-01-01,0.0338,140.946
0.693,1964,0.472,['Little Richard'],0.337,159200,0.797,0,6oSoqM0Otpmuowlzx0jYvK,1.46e-05,8,0.1369999999999999,-3.838,1,Goodnight Irene,26,1964-08,0.0756,173.437
0.667,1994,0.21,['Biggie Smalls'],0.8340000000000001,308707,0.526,1,4g8bzB3OIMBjZmaW3uAbDi,1.42e-06,2,0.122,-8.632,1,Players Anthem - Remix,55,1994,0.364,88.275
0.0569,2019,0.636,"['ScHoolboy Q', 'Kid Cudi']",0.414,150613,0.544,1,0IH3D0P8OrQFs6ajcqbm0R,1.7100000000000002e-05,5,0.0813,-9.455,1,Dangerous (feat. Kid Cudi),63,2019-04-26,0.102,171.86700000000005
0.238,1967,0.985,['Nico'],0.378,442733,0.103,0,6LQ3yf5WVLOCmtiYWewfWZ,0.0695,7,0.129,-17.811,0,Chelsea Girls,35,1967-10-09,0.0376,104.306
0.0964,1986,0.802,['Cocteau Twins'],0.371,196440,0.151,0,4SxLuA1hooDvHkSZmJb3ZZ,0.921,0,0.103,-19.345,0,The Thinner the Air,30,1986-04-14,0.0363,179.472
0.759,1967,0.319,['The Beach Boys'],0.69,110573,0.474,0,0vGQAGOmwqab3WwcBuDAGW,0.000108,11,0.0746,-8.729,1,I'd Love Just Once To See You - Remastered 2001,26,1967-12-18,0.0355,130.08100000000002
0.758,1964,0.736,['Jay & The Americans'],0.648,124347,0.5489999999999999,0,5UPHkS5lG9J5dN2ymOsXTQ,2.67e-05,9,0.53,-8.927,1,Only In America,19,1964-11-17,0.0577,82.15899999999998
0.0646,1983,0.429,['Jon & Vangelis'],0.17,294907,0.24,0,2GkWQgqVsgEuKbni70d0WW,0.0739,1,0.191,-15.411,0,Deborah - Remastered,30,1983-07-01,0.0334,168.37
0.338,1987,0.981,['Édith Piaf'],0.371,187733,0.278,0,6By5EZtl0GKQuRZBZbk1LU,0.0,7,0.272,-8.596,0,La Vie en rose,38,1987-10-31,0.0303,82.331
0.0528,1985,0.976,['Brian Eno'],0.0918,3650800,0.0569,0,4t3Yh6tKkxXrc458pNI7zZ,0.884,0,0.0842,-31.808000000000003,1,Thursday Afternoon - 2005 Digital Remaster,39,1985-10-01,0.0358,81.944
0.519,1940,0.924,['Roza Eskenazi'],0.383,188547,0.495,0,3tXKGXNo0tbuVturA7Fac6,1.26e-06,2,0.4970000000000001,-8.234,1,Tis Dimitrainas,0,1940-01-01,0.0453,116.442
0.332,2009,0.00197,['Adelitas Way'],0.442,224667,0.746,0,27TPpj59ml6N7las1h696d,0.0,1,0.123,-5.4110000000000005,1,Last Stand,54,2009-01-01,0.0309,131.957
0.43,1952,0.985,"['Ludwig van Beethoven', 'Pablo Casals']",0.508,292600,0.267,0,1DZ6qUIRk9rxC4KswRqR4C,0.8340000000000001,2,0.106,-15.681,1,"Cello Sonata No. 5 in D Major, Op. 102 No. 2: III. Allegro",0,1952,0.0413,79.21600000000002
0.448,2019,0.292,"['A$AP Ferg', 'Brent Faiyaz', 'Salaam Remi']",0.737,222987,0.597,1,5oady7OSE7dH7LHiqmb3Cr,0.0,7,0.13,-7.332999999999997,1,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",73,2019-08-16,0.118,92.049
0.409,2015,0.000175,['G-Eazy'],0.537,127427,0.624,1,7xq3uN2toVZ8IbNzfTucyJ,2.2e-06,11,0.116,-8.794,1,Calm Down,63,2015-12-04,0.325,102.315
0.858,1992,0.941,['Django Reinhardt'],0.769,167213,0.19,0,3YdejPPfBtHetU4GyuEPEb,0.0135,0,0.108,-15.537,1,Brazil,36,1992,0.044,109.391
0.059,1965,0.992,"['Frédéric Chopin', 'Arthur Rubinstein']",0.26,325893,0.0191,0,6mry9fDj4oTFudQAMRo1lV,0.892,3,0.0864,-23.594,0,"Nocturnes, Op. 9: No. 1 in B-Flat Minor",31,1965,0.041,62.106
0.598,1992,0.726,['Otis Redding'],0.486,166827,0.312,0,3XWiy9JEQ4iyqCzIqqdQu3,1.59e-06,2,0.0601,-13.522,1,(Sittin' On) the Dock of the Bay,56,1992-11-06,0.0533,205.917
0.305,1989,0.0023,['Skid Row'],0.466,229960,0.648,0,0qgrrDnUUhyxpxbBznUnzg,1.49e-05,1,0.112,-11.101,0,18 and Life,69,1989-01-24,0.028,90.435
0.688,2008,0.447,['The Hoosiers'],0.392,192493,0.514,0,6GUCCArDBLL6aAe34E9ta3,0.0,11,0.0818,-4.8210000000000015,0,A Sadness Runs Through Him,48,2008-04-15,0.0297,113.333
0.861,1982,0.35,['Eric Clapton'],0.823,259667,0.614,0,6Bh6aCLC0D0J1ckqpv3xvW,0.522,7,0.0864,-11.314,1,Knockin' On Heaven's Door,32,1982-01-01,0.0437,132.05
0.192,1939,0.805,"['Andrew Lloyd Webber', 'Kriszta Kovats']",0.212,303027,0.144,0,795AKGNARSqtMvrcEELCaC,0.000165,1,0.194,-18.58,1,Evita: Don't Cry for Me Argentina (Sung in Hungarian),0,1939-07-01,0.0348,79.612
0.215,1990,0.324,['Ricardo Montaner'],0.386,231827,0.481,0,7kTG7OmggNGDzPVbC1mZrg,1.02e-05,7,0.065,-8.597000000000001,1,Ojos negros,46,1990-01-01,0.0326,68.907
0.381,1969,0.144,['Led Zeppelin'],0.375,150201,0.956,0,2whQxHDxButA5STZ32FYme,7.6e-06,2,0.417,-7.077999999999999,1,Communication Breakdown - Remaster,39,1969-01-12,0.175,175.04
0.0501,1999,0.7979999999999999,['Korn'],0.301,62400,0.6990000000000001,0,2B7Ip5UezkdaW31SWujvI7,0.139,4,0.249,-11.915,0,Am I Going Crazy,41,1999-11-09,0.0844,109.643
0.276,1961,0.8740000000000001,"['Cannonball Adderley', 'Bill Evans']",0.465,296587,0.123,0,4x0kuhUNGqQN8uklA0jVbS,0.0114,1,0.118,-17.778,1,Know What I Mean?,22,1961,0.0436,83.32799999999997
0.154,2004,0.754,['Vino Nuevo'],0.556,364173,0.478,0,5W3PrDRuoXfDyolUWkwLzy,0.0,0,0.117,-7.34,1,En Totalidad a Ti,47,2004-10-16,0.0278,114.902
0.154,2018,0.219,['FLETCHER'],0.46,192993,0.498,0,4GUXTRTjQ4voLzwLw9qbPx,0.00329,5,0.099,-6.312,1,I Believe You,63,2018-03-09,0.0282,76.902
0.0354,1973,0.23,['CAN'],0.277,1192760,0.615,0,34xNUQwuKLFaJBasbuWsqK,0.882,0,0.117,-14.974,1,Bel Air,26,1973,0.0443,106.073
0.5670000000000001,2016,0.197,"['DJ Drama', 'Chris Brown', 'Jhené Aiko', 'Tory Lanez', 'Fabolous', 'Trey Songz']",0.563,330387,0.691,1,6Op6z8dK5XC9lGRZe4XRF2,0.0,3,0.0886,-4.464,0,"Wishing Remix (feat. Chris Brown, Fabolous, Trey Songz, Jhene Aiko & Tory Lanez)",57,2016-09-29,0.382,108.406
0.8909999999999999,1928,0.863,"[""Marcel's""]",0.7859999999999999,192053,0.319,0,0BcnYAvwdH9WNcQhkSWnts,0.00055,3,0.0469,-11.246,1,Le Tango De Lola,0,1928,0.038,106.109
0.855,1988,0.389,['Pixies'],0.88,138613,0.408,0,2nqMzaaRiinfR2B4egiHgI,0.0704,4,0.0971,-14.498,0,Cactus,47,1988,0.0587,116.233
0.236,1926,0.475,"['Georgette Heyer', 'Irina Salkow']",0.679,134571,0.121,0,5bsAPgurneSpyfqfNCSElq,0.0,4,0.116,-21.337,1,Kapitel 272 - Der Page und die Herzogin,1,1926,0.944,145.91
0.967,1964,0.82,['Sam Cooke'],0.7340000000000001,152907,0.552,0,4K1YBXPilxBvAKAKfv2uZU,0.0,9,0.157,-9.832,1,Rome (Wasn't Built In A Day),42,1964-03-01,0.0322,123.791
0.5870000000000001,2010,0.657,"['Kendrick Lamar', 'JaVonté']",0.608,271909,0.8140000000000001,1,1S6NpdvFXqHZfPUUEOIjtG,5.86e-06,6,0.256,-5.908,1,Opposites Attract (Tomorrow W/O Her),48,2010-09-14,0.435,192.157
0.347,1963,0.931,['Andy Williams'],0.208,187000,0.184,0,4r87anpJZfl5p6OsBZnrZs,0.0,0,0.376,-15.49,1,The First Noël,43,1963,0.0303,80.26100000000002
0.65,1965,0.77,['Bob Dylan'],0.512,202067,0.679,0,34hwPjXb0er1tpK5A1sUUx,0.0,7,0.967,-8.395,1,"If You Gotta Go, Go Now (Or Else You Got to Stay All Night) - Live at Philharmonic Hall, New York, NY - October 1964",18,1965-01-01,0.477,142.689
0.0562,1952,0.227,"['Johannes Brahms', 'Pierre Monteux']",0.183,122600,0.128,0,1kzteGupSBIJVs0Aff51SC,0.785,0,0.157,-22.986,1,"Song of Destiny, Op. 54: III. Adagio",0,1952,0.0368,111.44
0.8440000000000001,1962,0.82,['John Zacherle'],0.609,141613,0.438,0,6GOpjVM7EeC1eYFPeRCD3r,0.00507,1,0.326,-11.436,1,I'm The Ghoul From Wolverton Mountain,16,1962-01-01,0.26,157.941
0.59,1968,0.201,['Dr. John'],0.6509999999999999,296253,0.376,0,26fJRWncO6oFVu31w5rNy3,0.396,5,0.0405,-15.666,1,Danse Fambeaux,29,1968,0.0442,91.593
